,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Rom,Tomteareal,Bruttoareal,Fellesformue,Formuesverdi,Fellesgjeld,Energimerking,Pris med fellesgjeld,Renovert år,Mobil,Eierskifte-forsikring,Kommunale avg.,Tomt,Festeavgift,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Verditakst,Låneverdi,Lånetakst,Telefon,price,area,price_per_m2,predicted_price,priceyness
169,166242394,Lys og gjennomgående 3-roms designperle med moderne standard og klassiske detaljer. Mulighet for å lage to soverom til.,"Toftes gate 29, 0555 Oslo",3910000.0,59.927536,10.760638,https://www.finn.no/realestate/homes/ad.html?finnkode=166242394,116700.0,4108724.0,2980.0,Leilighet,Eier (Selveier),2,43.0,43.0,2,1900,3,299.0,47.0,9562.0,1032379.0,82024.0,F - oransje,,,,Ja,,,,,,,,,,,,,4108724.0,43.0,95551.72093023256,3578571.5631125886,0.13814880194575352
170,166242400,"Romslig 3,5-roms klassiske hjørneleilighet. Utsikt over frodig park. Trafikkstille og sentralt. Felles takterrasse.","Jarlegata 19A, 0656 Oslo",4500000.0,59.908195,10.7723465,https://www.finn.no/realestate/homes/ad.html?finnkode=166242400,7960.0,4685960.0,5159.0,Leilighet,Andel,2,67.0,67.0,4,1895,3,713.0,77.0,58878.0,1072856.0,178000.0,G - oransje,,,,Ja,,,,,,,,,,,,,4685960.0,67.0,69939.70149253731,4839199.549119481,-0.0321785206537335
171,166242405,"Stor, lekker og klassisk 3(4)-roms med balkong. Totalrenovert 2016. Stort baderom og gjestetoalett. Lave felleskostnad","Markveien 21A, 0554 Oslo",7300000.0,59.925167,10.756875,https://www.finn.no/realestate/homes/ad.html?finnkode=166242405,193650.0,7493650.0,3015.0,Leilighet,Eier (Selveier),2,95.0,95.0,2,1890,3,239.0,110.0,,1489261.0,,F - oransje,,,,Ja,,,,,,,,,,,,,7493650.0,95.0,78880.52631578948,6309932.199460855,0.17193106369043143
172,166242390,Innbydende 4-roms med meget attraktiv beliggenhet.Trappefri adkomst. To garasjeplasser. Nærhet til T-bane og marka.,"Skådalsveien 36 A, 0781 Oslo",7900000.0,59.961983,10.689951,https://www.finn.no/realestate/homes/ad.html?finnkode=166242390,214400.0,8114400.0,2258.0,Leilighet,Eier (Selveier),3,95.0,95.0,1,1994,,2218.0,106.0,17656.0,1607159.0,,E - oransje,,,,Ja,,,,,,,,,,,,,8114400.0,95.0,85414.73684210527,6309932.199460855,0.25151532951914213
173,166242402,"Klassisk 3-roms i praktfull jugendgård med balkong, fantastiske lys- og utsiktsforhold og nydelig forhage! Må sees!","Fougstads gate 25 A, 0173 Oslo",7300000.0,59.92765,10.747188,https://www.finn.no/realestate/homes/ad.html?finnkode=166242402,195650.0,7495650.0,2486.0,Leilighet,Eier (Selveier),2,80.0,80.0,4,1904,3,923.0,89.0,28498.0,1532467.0,,G - oransje,,,,,,,,,,,,,,,,,7495650.0,80.0,93695.625,5522039.708206547,0.3055755478848141
174,166242387,Delikat og tidsmessig 3-roms i toppetasje med solrik innglasset balkong - Svært romslig og god planløsning - Sentralt,"Otto Sogns vei 27, 0681 Oslo",3700000.0,59.899563,10.818441,https://www.finn.no/realestate/homes/ad.html?finnkode=166242387,15138.0,3759258.0,3257.0,Leilighet,Andel,2,72.0,79.0,4,1963,3,16726.0,87.0,24564.0,965863.0,44120.0,E - rød,,,,Ja,,,,,,,,,,,,,3759258.0,79.0,47585.54430379747,5469513.542122927,-0.3749680830069053
175,166242371,Lys og stilren 2-roms andelsleilighet med overbygget balkong på ca. 10 kvm. Umiddelbar nærhet til T-banestopp og marka!,"Dr. Dedichens vei 100, 0675 Oslo",2650000.0,59.927116,10.868169,https://www.finn.no/realestate/homes/ad.html?finnkode=166242371,15285.0,2743285.0,2864.0,Leilighet,Andel,1,47.0,47.0,1,1972,2,75000.0,52.0,,623253.0,78000.0,D - rød,,,,Ja,,,,,,,,,,,,,2743285.0,47.0,58367.765957446805,3788676.2274470706,-0.3228605703281229
176,166242364,Stilren og arealeffektiv 2-roms med sentral beliggenhet - Lave fellesutgifter,"Gabels gate 8 B, 0272 Oslo",3200000.0,59.91243,10.708205,https://www.finn.no/realestate/homes/ad.html?finnkode=166242364,91670.0,3313382.0,1819.0,Leilighet,Eier (Selveier),1,33.0,33.0,2,1900,,506.0,36.0,7133.0,855151.0,21712.0,F - rød,,,,Ja,,,,,,,,,,,,,3313382.0,33.0,100405.51515151515,3053309.9022763832,0.081743203959741
177,166240398,Attraktiv 4-roms selveier med hybel (3R + 1R ) - 2 balkonger - 2 bad - Garasjeplass og heis - Skjermet beliggenhet!,"Biermanns gate 9, 0556 Oslo",6950000.0,59.930107,10.761922,https://www.finn.no/realestate/homes/ad.html?finnkode=166240398,185631.0,7135631.0,4722.0,Leilighet,Eier (Selveier),3,83.0,85.0,3,2005,4,413.0,93.0,16220.0,1510029.0,,D - mørkegrønn,,,,Ja,,,,,,,,,,,,,7135631.0,85.0,83948.6,5784670.53862465,0.2098892762479938
178,165342317,VÅLERENGA/KAMPEN: Familievennlig 4-r m/svært god utsikt! Balkong med supre solforhold. Garasjeplass m/el-lader. Heis.,"Østerdalsgata 2 A, 0658 Oslo",5750000.0,59.90978,10.789995,https://www.finn.no/realestate/homes/ad.html?finnkode=165342317,8219.0,5885950.0,4854.0,Leilighet,Andel,3,75.0,75.0,4,1992,4,1072.0,83.0,43872.0,1202208.0,127731.0,F - rød,,,,,,,,,,,,,,,,,5885950.0,75.0,78479.33333333333,5259408.877788445,0.11254951525608092
