,Address,Boligtype,Bruksareal,Bruttoareal,Byggeår,Eieform,Eierskifte-forsikring,Energimerking,Etasje,FINN-kode,Fellesformue,Fellesgjeld,Felleskost/mnd.,Formuesverdi,Omkostninger,Primærrom,Prisantydning,Soverom,Title,Tomteareal,Totalpris,lat,lng,url,Rom,Kommunale avg.,Mobil,Renovert år,Festeavgift,Pris med fellesgjeld,Fax,Tomt,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,Verditakst,Lånetakst,Telefon
227,"Rathkes gate 17A, 0558 Oslo",Leilighet,57.0,63.0,1897,Eier (Selveier),,,2,165832399,22526.0,6000.0,2861.0,1032378.0,81522.0,57.0,3500000.0,2,Oppussingsobjekt | Gjennomgående 3-roms selveierleilighet i 2. etasje med balkong | Sentralt og populært område,431.0,3587522.0,59.9215,10.7657,https://www.finn.no/realestate/homes/ad.html?finnkode=165832399,3,,958 44 243,,,,,,,,,,,,,
228,"Mellombølgen 145, 1157 Oslo",Leilighet,53.0,58.0,1954,Andel,,G - rød,4,165812412,14160.0,168000.0,2523.0,840768.0,8219.0,53.0,3050000.0,1,Stilig 2-roms topp-/hjørneleilighet med walk-in closet og balkong. Rolig beliggenhet med kort vei til T-bane og marka.,70721.0,3226219.0,59.8665,10.8236,https://www.finn.no/realestate/homes/ad.html?finnkode=165812412,2,,414 65 594,,,,,,,,,,,,,
229,"Sigurd Hoels vei 7, 0655 Oslo",Leilighet,76.0,82.0,2018,Eier (Selveier),,C - mørkegrønn,2,165462212,9800.0,,3197.0,1380248.0,124972.0,72.0,4950000.0,2,Innflytningsklar og moderne 3(4)-roms selveier i bygg fra 2018. Heis og 2 balkonger. Mulighet for kjøp av garasjeplass!,7841.0,5074972.0,59.916,10.786,https://www.finn.no/realestate/homes/ad.html?finnkode=165462212,3,,482 65 908,,,,,,,,,,,,,
230,"Betzy Kjelsbergs vei 15, 0486 Oslo",Leilighet,58.0,63.0,1960,Andel,,F - mørkegrønn,10,165891676,19638.0,209000.0,3926.0,1042410.0,8219.0,58.0,3900000.0,2,Lys og lekker 3-roms | Høy standard| Balkong med gode solforhold | Utsikt | Gode kollektiver forbindelser.,14284.0,4117219.0,59.9541,10.771,https://www.finn.no/realestate/homes/ad.html?finnkode=165891676,3,,476 22 523,,,,,,,,,,,,,
231,"Oppsaltoppen 15C, 0687 Oslo",Leilighet,51.0,56.0,1957,Andel,,F - mørkegrønn,1,165842865,,16000.0,2722.0,763467.0,8357.0,51.0,3000000.0,1,Stor og lys 2-roms leilighet med solrik og usjenert balkong. Adskilt kjøkken fra 2016. Bad 2009. Fyring og varmtvann ink,19665.0,3024357.0,59.8982,10.8518,https://www.finn.no/realestate/homes/ad.html?finnkode=165842865,2,,913 92 733,2018,,,,,,,,,,,,
232,"Olaf Helsets vei 1B, 0694 Oslo",Leilighet,87.0,95.0,2012,Eier (Selveier),,C - mørkegrønn,3,165761345,,,3331.0,1095179.0,106222.0,70.0,4200000.0,2,"Stor 3-roms eierseksjon fra 2012 med garasje, heis og vestvendt veranda på hele 11kvm. Rett ved Østmarka. VV/fyring inkl",7988.0,4306222.0,59.867,10.8395,https://www.finn.no/realestate/homes/ad.html?finnkode=165761345,3,,913 92 733,,,,,,,,,,,,,
233,"Tante Ulrikkes vei 23, 0984 Oslo",Leilighet,52.0,57.0,1970,Andel,,F - mørkegrønn,3,165899393,18286.0,49708.0,3821.0,614288.0,8220.0,50.0,2250000.0,1,"Flott, romslig 2-roms i meget veldrevet borettslag | Stor, solrik balkong | Varmtvann og fyring inkludert",90510.0,2307928.0,59.9567,10.9139,https://www.finn.no/realestate/homes/ad.html?finnkode=165899393,2,,911 01 302,,,,,,,,,,,,,
234,"Østerliveien 46B, 1153 Oslo",Leilighet,77.0,84.0,1956,Aksje,,,3,165324702,,237000.0,4561.0,,18775.0,77.0,4600000.0,2,Påkostet 3-roms toppleilighet med p-plass og sydvestvendt balkong på 11m² | Peis og meget attraktiv beliggenhet,2285.0,4855775.0,59.878,10.8125,https://www.finn.no/realestate/homes/ad.html?finnkode=165324702,,,454 47 842,,,,,,,,,,,,,
235,"Mor Go'hjertas vei 19, 0469 Oslo",Leilighet,65.0,71.0,1957,Andel,Ja,F - mørkegrønn,3,166221318,24934.0,9000.0,4198.0,1073942.0,15035.0,65.0,4800000.0,2,"Flott beliggende 3-R i populær gård | stor balkong mot idylliske Akerselva | god standard | ""alt"" inkl. | barnevennlig!",4384.0,4824035.0,59.941864,10.764648,https://www.finn.no/realestate/homes/ad.html?finnkode=166221318,3,,,,,,,,,,,,,,,
236,"Lofotgata 4 c, 0458 Oslo",Leilighet,44.0,49.0,1901,Andel,Ja,F - rød,3,166221263,3597.0,206000.0,3282.0,549777.0,7710.0,44.0,3500000.0,2,Tiltalende 3-roms rett ved Iladalen | solrik balkong | bra standard | alt pusset opp i 2016 | effektivt utnyttet!,532.0,3713710.0,59.930004,10.753479,https://www.finn.no/realestate/homes/ad.html?finnkode=166221263,3,,,,,,,,,,,,,,,
237,"Schweigaards gate 90A, 0656 Oslo",Leilighet,59.0,64.0,1986,Andel,,D - rød,5,166221182,16182.0,12406.0,3383.0,987152.0,14898.0,59.0,3950000.0,3,Tiltalende 4-roms loftsleilighet med nydelig utsikt over byen | 65 kvm gulvareal | sentral og attraktiv beliggenhet!,657.0,3977304.0,59.906998,10.777386,https://www.finn.no/realestate/homes/ad.html?finnkode=166221182,4,,,,,,,,,,65.0,,,,,
238,"Stordamsnaret 6, 0671 Oslo",Tomannsbolig,170.0,179.0,1961,Eier (Selveier),,F - gul,,166048032,,,,2013000.0,224972.0,151.0,8950000.0,3,Halvpart av vertikaldelt tomannsbolig med garasje. Stor og solrik hage. Barnevennlig beliggenhet i rolig gate.,491.0,9174972.0,59.9107,10.8395,https://www.finn.no/realestate/homes/ad.html?finnkode=166048032,5,13679.0,905 11 710,,,,,,,,,,,,,
