,FINN-kode,Title,Address,Prisantydning,lat,lng,url,Fellesgjeld,Omkostninger,Totalpris,Felleskost/mnd.,Boligtype,Eieform,Soverom,Primærrom,Bruksareal,Etasje,Byggeår,Energimerking,Rom,Tomteareal,Bruttoareal,Fellesformue,Eierskifte-forsikring,Formuesverdi,Mobil,Kommunale avg.,Renovert år,Tomt,Telefon,Festeavgift,Verditakst,Pris med fellesgjeld,Lånetakst,Fax,Felleskost/mnd. etter avdragsfri periode,Sikringsordning,Grunnflate,Utleiedel,Låneverdi,price,area,price_per_m2,predicted_price,priceyness
1251,157628862,Innflyttingsklar! Tiltalende 3-roms selveierleilighet i barnevennlig område med 46 m2 terrasse og markterrasse. Garasje.,"Reverudåsen 55A, 1341 Slependen",4800000.0,59.881947,10.483778,https://www.finn.no/realestate/homes/ad.html?finnkode=157628862,173946.0,138392.0,5112338.0,3200.0,Leilighet,Eier (Selveier),2,89.0,89.0,1,1983,,,35302.0,89.0,9638.0,,,,,,,,,5000000.0,,,,,,,,4300000.0,5112338.0,89.0,57442.0,4867102.988460438,0.04915794263480855
1252,157655841,Rålekker 3-roms med hems topp/hjørneleilighet med 2 terrasser og egen P-plass med tilhørende bod | Ingen Dok.avgift,"Skorkeberg alle 13C, 1447 Drøbak",3700000.0,59.6591,10.646,https://www.finn.no/realestate/homes/ad.html?finnkode=157655841,352622.0,1032.0,4053654.0,5201.0,Leilighet,Andel,2,85.0,85.0,2,1990,,4,3322.0,94.0,63199.0,,916606.0,948 28 691,,,,,,3700000.0,,,,,,,,,4053654.0,85.0,47690.04705882353,4755181.809921483,-0.15961623420857762
1253,157098094,Smakfull 3R endeleilighet | Solrik balkong med fin utsikt | 2 nye bad /wc | Garasjeplass | Heis  | Rolig,"Hovseterveien 68B, 0768 Oslo",4300000.0,59.9497,10.6531,https://www.finn.no/realestate/homes/ad.html?finnkode=157098094,696000.0,7314.0,5003314.0,7064.0,Leilighet,Andel,2,77.0,77.0,4,1974,E - rød,,1675.0,84.0,,,1406479.0,,,,,,,,,,,,,,,,5003314.0,77.0,64978.103896103894,4531339.452843573,0.09908291213599618
1255,157642954,Råholt/ Stasjonsløkka: Helt ny 2-roms leilighet. Sentral beliggenhet. God planløsning. Skjermet terrasse.,"Grindatunet 11 F, 2070 Råholt",2660000.0,60.283607,11.16622,https://www.finn.no/realestate/homes/ad.html?finnkode=157642954,,,,2265.0,Leilighet,Eier (Selveier),1,56.4,56.4,,2019,,2,,,,,,,,,Eiet,,,,,,,,,,,,2660000.0,56.4,47163.12056737589,3954945.383367954,-0.39664066881560167
1256,157641965,Råholt/ Stasjonsløkka: Helt ny 4-roms hjørneleilighet. Sentral beliggenhet. God planløsning. Skjermet terrasse.,"Grindatunet 9, 2070 Råholt",3870000.0,60.283756,11.165659,https://www.finn.no/realestate/homes/ad.html?finnkode=157641965,,,,3217.0,Leilighet,Eier (Selveier),3,86.0,86.0,1,2019,,4,,,,,,,,,Eiet,,,,,,,,,,,,3870000.0,86.0,45000.0,4783162.1045562215,-0.21184734889821755
1257,157642086,Råholt/ Stasjonsløkka: Helt ny 3-roms hjørneleilighet. Sentral beliggenhet. God planløsning. Skjermet terrasse.,"Grindatunet 11 G, 2070 Råholt",3815000.0,60.28361,11.166309,https://www.finn.no/realestate/homes/ad.html?finnkode=157642086,,,,3155.0,Leilighet,Eier (Selveier),2,79.5,79.5,1,2019,,3,,,,,,,,,Eiet,,,,,,,,,,,,3815000.0,79.5,47987.4213836478,4601290.189430419,-0.18739607539573377
1258,157641047,"Helt ny, stilren 2-roms selveier i 7 etg m/østevndt balkong- Rask innflyttning. Felles takterasse.","Dronning Eufemias gate 65, 0194 Oslo",4600000.0,59.9066,10.7604,https://www.finn.no/realestate/homes/ad.html?finnkode=157641047,,124706.0,4724706.0,2208.0,Leilighet,Eier (Selveier),1,36.0,41.0,7,2019,C - mørkegrønn,2,6248.0,47.0,,,,,,,,,,,,,,,,,,,4724706.0,41.0,115236.73170731707,3524048.845992976,0.29319476785826204
1259,157550824,Lys og moderne halvpart av tomannsbolig i barnevennlig område | Kjøkken 2018 og nyere bad | Vestvendt uteareal | 3 sov |,"Stokkandveien 13, 1555 Son",3850000.0,59.5058,10.6922,https://www.finn.no/realestate/homes/ad.html?finnkode=157550824,,97472.0,3947472.0,,Tomannsbolig,Eier (Selveier),3,116.0,116.0,2,1980,F - oransje,4,278.0,127.0,,,903556.0,470 89 648,8025.0,,,,,,,,,,,,,,3947472.0,116.0,34029.93103448276,5622570.943598386,-0.353713648549304
1260,157459278,"Endeleilighet med stor stue, koslig uteplass og garasje.","Herkulesvegen 3B, 2165 Hvam",1450000.0,60.1241,11.3379,https://www.finn.no/realestate/homes/ad.html?finnkode=157459278,314972.0,1062.0,1766034.0,6909.0,Leilighet,Andel,1,55.0,55.0,,2000,E - rød,2,2239.0,61.0,107497.0,,488551.0,,,,,,,,,,,,,,,,1766034.0,55.0,32109.70909090909,3915772.970879319,-0.7962763936931729
1261,157478493,2-roms leilighet beliggende i 1.etg. med uteplass på 13 kvm! Innflyttingsklar i feb. 2020. Salg av kontraktsposisjon!,"Kollen på Bærums Verk B-105, 1353 Bærums Verk",2950000.0,59.948658,10.508595,https://www.finn.no/realestate/homes/ad.html?finnkode=157478493,,12774.0,2962774.0,,Leilighet,Eier (Selveier),1,35.0,35.0,1,,,2,13000.0,,,,,,,,,,,,,,,,,,,,2962774.0,35.0,84650.68571428572,3356167.078184543,-0.12467358064781209
